customerid,customername,CLV
2,"Ana Trujillo Emparedados y helados",55.5
3,"Antonio Moreno Taquería",504
4,"Around the Horn",344.75
5,"Berglunds snabbköp",600.77
7,"Blondel père et fils",1173.37
8,"Bólido Comidas preparadas",409.17
9,"Bon app'",750.91
10,"Bottom-Dollar Marketse",663.65
11,"B's Beverages",299.62
13,"Centro comercial Moctezuma",63
14,"Chop-suey Chinese",374.83
15,"Comércio Mineiro",678.46
16,"Consolidated Holdings",263.33
17,"Drachenblut Delikatessend",166.75
18,"Du monde entier",168
19,"Eastern Connection",1003.42
20,"Ernst Handel",1018.03
21,"Familia Arquibaldo",207.27
23,"Folies gourmandes",676.73
24,"Folk och fä HB",479.32
25,Frankenversand,892.29
27,"Franchi S.p.A.",62.46
28,"Furia Bacalhau e Frutos do Mar",331.2
29,"Galería del gastrónomo",148.25
30,"Godos Cocina Típica",518.33
31,"Gourmet Lanchonetes",637.5
33,GROSELLA-Restaurante,688.55
34,"Hanari Carnes",678.88
35,HILARIÓN-Abastos,720.08
36,"Hungry Coyote Import Store",184.04
37,"Hungry Owl All-Night Grocers",732.91
38,"Island Trading",225.4
39,"Königlich Essen",259.84
41,"La maison d'Asie",438.8
44,"Lehmanns Marktstand",548.06
46,LILA-Supermercado,566.05
47,LINO-Delicateses,500
48,"Lonesome Pine Restaurant",296.83
49,"Magazzini Alimentari Riuniti",462.99
51,"Mère Paillarde",1668.76
52,"Morgenstern Gesundkost",751.8
54,"Océano Atlántico Ltda.",199.5
55,"Old World Delicatessen",1074.45
56,"Ottilies Käseladen",497.5
58,"Pericles Comidas clásicas",283.72
59,"Piccolo und mehr",4010.19
60,"Princesa Isabel Vinhoss",628.5
61,"Que Delícia",337.42
62,"Queen Cozinha",1986.73
63,QUICK-Stop,908.94
65,"Rattlesnake Canyon Grocery",837.34
66,"Reggiani Caseifici",205.04
67,"Ricardo Adocicados",319.2
68,"Richter Supermarkt",979.29
69,"Romero y tomillo",115.84
70,"Santé Gourmet",330.9
71,"Save-a-lot Markets",1406.25
72,"Seven Seas Imports",929.84
73,"Simons bistro",2436.5
75,"Split Rail Beer & Ale",854.92
76,"Suprêmes délices",1341.88
77,"The Big Cheese",210.5
79,"Toms Spezialitäten",236.83
80,"Tortuga Restaurante",355.78
81,"Tradição Hipermercados",1316.42
83,Vaffeljernet,406.48
84,"Victuailles en stock",204.1
85,"Vins et alcools Chevalier",275.2
86,"Die Wandernde Kuh",440.17
87,"Wartian Herkku",489.38
88,"Wellington Importadora",503.33
89,"White Clover Markets",1104
90,"Wilman Kala",188.67
91,Wolski,286.88
