CUSTOMERID,CUSTOMERNAME,TOTALREVENUE,ORDERDATE
90,"Wilman Kala",566,1996-07-04
81,"Tradição Hipermercados",3949.25,1996-07-05
34,"Hanari Carnes",4073.25,1996-07-08
84,"Victuailles en stock",1020.5,1996-07-08
76,"Suprêmes délices",8051.3,1996-07-09
14,"Chop-suey Chinese",2249,1996-07-11
68,"Richter Supermarkt",3115.75,1996-07-12
88,"Wellington Importadora",648,1996-07-15
35,HILARIÓN-Abastos,4320.5,1996-07-16
20,"Ernst Handel",21487.760000000002,1996-07-17
13,"Centro comercial Moctezuma",126,1996-07-18
55,"Old World Delicatessen",8549.5,1996-07-19
61,"Que Delícia",2453.4,1996-07-19
65,"Rattlesnake Canyon Grocery",13584.4,1996-07-22
24,"Folk och fä HB",3863.9,1996-07-24
7,"Blondel père et fils",12490.250000000002,1996-07-25
87,"Wartian Herkku",4013.5,1996-07-26
25,Frankenversand,13384.32,1996-07-29
33,GROSELLA-Restaurante,1377.1000000000001,1996-07-30
89,"White Clover Markets",4416,1996-07-31
75,"Split Rail Beer & Ale",10503.720000000001,1996-08-01
63,QUICK-Stop,15910.3,1996-08-05
85,"Vins et alcools Chevalier",825.5999999999999,1996-08-06
49,"Magazzini Alimentari Riuniti",1144,1996-08-07
80,"Tortuga Restaurante",4269.4,1996-08-08
52,"Morgenstern Gesundkost",1503.6,1996-08-09
5,"Berglunds snabbköp",5406.9,1996-08-12
44,"Lehmanns Marktstand",4384.45,1996-08-13
69,"Romero y tomillo",926.69,1996-08-14
46,LILA-Supermercado,7358.68,1996-08-16
67,"Ricardo Adocicados",1596,1996-08-22
66,"Reggiani Caseifici",112,1996-08-23
11,"B's Beverages",599.25,1996-08-26
15,"Comércio Mineiro",2713.8500000000004,1996-08-27
37,"Hungry Owl All-Night Grocers",13204.52,1996-09-05
86,"Die Wandernde Kuh",4841.9,1996-09-09
30,"Godos Cocina Típica",1555,1996-09-11
48,"Lonesome Pine Restaurant",890.5,1996-09-17
2,"Ana Trujillo Emparedados y helados",111,1996-09-18
77,"The Big Cheese",421,1996-09-20
18,"Du monde entier",336,1996-09-20
38,"Island Trading",1127,1996-09-26
58,"Pericles Comidas clásicas",851.1600000000001,1996-10-04
39,"Königlich Essen",2078.75,1996-10-07
71,"Save-a-lot Markets",15254.050000000001,1996-10-08
8,"Bólido Comidas preparadas",1227.5,1996-10-10
28,"Furia Bacalhau e Frutos do Mar",1656,1996-10-14
9,"Bon app'",5256.35,1996-10-16
51,"Mère Paillarde",7647.4,1996-10-17
60,"Princesa Isabel Vinhoss",1450,1996-10-23
73,"Simons bistro",515,1996-10-29
21,"Familia Arquibaldo",1367.6,1996-11-06
41,"La maison d'Asie",1570.75,1996-11-11
59,"Piccolo und mehr",15227,1996-11-13
4,"Around the Horn",1723.75,1996-11-15
72,"Seven Seas Imports",7438.7,1996-11-21
17,"Drachenblut Delikatessend",667,1996-11-26
19,"Eastern Connection",1187.5,1996-11-26
3,"Antonio Moreno Taquería",504,1996-11-27
29,"Galería del gastrónomo",170.25,1996-11-28
83,Vaffeljernet,3251.85,1996-11-28
62,"Queen Cozinha",15353.6,1996-12-04
91,Wolski,573.75,1996-12-05
36,"Hungry Coyote Import Store",976.25,1996-12-06
70,"Santé Gourmet",1323.6,1996-12-18
10,"Bottom-Dollar Marketse",2292,1996-12-20
47,LINO-Delicateses,500,1997-01-06
56,"Ottilies Käseladen",1492.5,1997-01-07
23,"Folies gourmandes",2030.2,1997-01-08
54,"Océano Atlántico Ltda.",399,1997-01-09
27,"Franchi S.p.A.",62.46,1997-01-22
31,"Gourmet Lanchonetes",1275,1997-01-23
16,"Consolidated Holdings",790,1997-02-04
79,"Toms Spezialitäten",710.5,1997-02-06
